#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,00:01.6,ENTER,37.38,100,,3738.0000000000005,,,382,383,B,,,,945,366
BHP,20130205,00:01.6,ENTER,37.38,100,,3738.0000000000005,,,386,387,A,,,,945,203
BHP,20130205,00:03.1,ENTER,37.35,100,,3735.0,,,414,415,A,,,,140,150
BHP,20130205,00:03.1,ENTER,37.35,100,,3735.0,,,418,419,B,,,,210,150
BHP,20130205,00:06.7,ENTER,37.37,100,,3736.9999999999995,,,430,431,B,,,,217,112
BHP,20130205,00:06.8,ENTER,37.36,100,,3736.0,,,434,435,A,,,,297,217
BHP,20130205,00:08.5,ENTER,37.36,100,,3736.0,,,436,437,A,,,,297,916
BHP,20130205,00:20.8,ENTER,37.36,100,,3736.0,,,440,441,B,,,,112,361
BHP,20130205,00:22.5,ENTER,37.36,100,,3736.0,,,446,447,A,,,,297,361
BHP,20130205,00:26.4,ENTER,37.36,100,,3736.0,,,448,449,B,,,,241,361
BHP,20130205,00:27.5,ENTER,37.36,100,,3736.0,,,450,451,B,,,,297,361
BHP,20130205,00:32.6,ENTER,37.35,100,,3735.0,,,452,453,A,,,,210,203
BHP,20130205,00:32.7,ENTER,37.36,100,,3736.0,,,454,455,A,,,,110,361
BHP,20130205,00:32.7,ENTER,37.36,100,,3736.0,,,456,457,B,,,,110,217
BHP,20130205,00:32.7,ENTER,37.36,100,,3736.0,,,458,459,B,,,,110,203
BHP,20130205,00:32.7,ENTER,37.36,100,,3736.0,,,460,461,A,,,,110,203
BHP,20130205,00:46.1,ENTER,37.37,100,,3736.9999999999995,,,488,489,B,,,,203,297
BHP,20130205,00:46.1,ENTER,37.37,100,,3736.9999999999995,,,492,493,A,,,,203,210
BHP,20130205,00:46.5,ENTER,37.36,100,,3736.0,,,500,501,A,,,,150,110
BHP,20130205,00:46.5,ENTER,37.36,100,,3736.0,,,504,505,B,,,,150,110
BHP,20130205,00:53.6,ENTER,37.37,100,,3736.9999999999995,,,546,547,B,,,,238,210
BHP,20130205,00:53.6,ENTER,37.37,100,,3736.9999999999995,,,550,551,A,,,,238,203
BHP,20130205,00:59.7,ENTER,37.36,100,,3736.0,,,554,555,A,,,,210,203
BHP,20130205,00:59.7,ENTER,37.36,100,,3736.0,,,558,559,B,,,,210,217
BHP,20130205,01:14.4,ENTER,37.35,100,,3735.0,,,572,573,A,,,,210,203
BHP,20130205,01:26.6,ENTER,37.36,100,,3736.0,,,576,577,B,,,,638,157
BHP,20130205,01:28.1,ENTER,37.35,100,,3735.0,,,578,579,B,,,,210,144
BHP,20130205,01:35.2,ENTER,37.35,100,,3735.0,,,580,581,A,,,,210,140
BHP,20130205,01:38.1,ENTER,37.35,100,,3735.0,,,582,583,A,,,,210,203
BHP,20130205,01:48.2,ENTER,37.36,100,,3736.0,,,584,585,B,,,,638,157
BHP,20130205,01:48.5,ENTER,37.36,100,,3736.0,,,586,587,B,,,,110,157
BHP,20130205,01:48.5,ENTER,37.36,100,,3736.0,,,590,591,A,,,,110,203
BHP,20130205,02:04.7,ENTER,37.35,100,,3735.0,,,618,619,A,,,,210,244
BHP,20130205,02:16.3,ENTER,37.35,100,,3735.0,PXT,,622,623,B,,,,203,203
